                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 0.4933,                0.98202,                0.95008,                0.49481,                0.76822,                0.67588,                0.62755,                0.42682,                 1.2564,                 0.8985,             0.00087452,             0.00087452,             0.00087452
                     46,                0.49213,                0.96754,                0.94773,                 0.4237,                0.62598,                0.62381,                0.58308,                 0.4356,                 1.2529,                0.90546,             0.00086902,             0.00086902,             0.00086902
                     47,                0.49616,                0.94426,                0.94082,                0.33299,                0.49294,                 0.4071,                 0.3856,                0.41894,                 2.3927,                0.91935,             0.00086352,             0.00086352,             0.00086352
                     48,                0.49535,                 0.9281,                0.93893,                0.02695,                   0.64,                0.06599,                0.04513,                  2.044,                 5.3341,                 2.5585,             0.00085803,             0.00085803,             0.00085803
                     49,                0.47264,                0.93723,                0.93529,                0.55388,                0.68032,                0.63815,                0.56569,                0.45658,                 1.5764,                0.91903,             0.00085253,             0.00085253,             0.00085253
                     50,                0.48371,                0.92209,                0.94671,                0.40731,                   0.56,                0.35865,                0.33691,                0.41942,                 2.4006,                 0.9161,             0.00084703,             0.00084703,             0.00084703
                     51,                 0.4738,                0.91787,                0.94128,                0.53657,                0.75429,                0.63723,                0.58597,                0.49263,                 1.4121,                0.95055,             0.00084153,             0.00084153,             0.00084153
                     52,                 0.4877,                0.88344,                0.94128,                0.39932,                   0.64,                0.47449,                0.43787,                0.44409,                 1.9589,                0.90245,             0.00083603,             0.00083603,             0.00083603
                     53,                0.47367,                0.90103,                0.93431,                0.35082,                   0.66,                0.45167,                0.39092,                0.63561,                 1.8548,                 1.0382,             0.00083053,             0.00083053,             0.00083053
                     54,                0.46985,                0.86241,                0.94155,                0.46693,                0.55193,                0.47425,                 0.4188,                 0.5524,                 2.0326,                0.93689,             0.00082503,             0.00082503,             0.00082503
                     55,                0.47413,                0.84841,                0.94422,                0.30803,                    0.6,                0.24755,                 0.2122,                0.77659,                 2.6057,                 1.3301,             0.00081953,             0.00081953,             0.00081953
                     56,                0.48579,                0.86409,                0.94122,                0.47936,                0.65531,                0.50827,                0.46651,                0.43093,                 1.8575,                0.88898,             0.00081403,             0.00081403,             0.00081403
                     57,                0.48584,                0.82745,                0.94481,                0.43615,                0.63538,                 0.4401,                0.39951,                0.47754,                 2.1308,                0.90703,             0.00080853,             0.00080853,             0.00080853
                     58,                0.47835,                 0.8203,                0.94001,                0.50473,                0.60586,                0.60963,                0.54985,                0.44825,                 1.6233,                0.87771,             0.00080303,             0.00080303,             0.00080303
                     59,                0.47191,                0.80813,                0.93573,                0.43483,                0.82021,                 0.6913,                0.62795,                0.44968,                 1.4556,                0.90836,             0.00079753,             0.00079753,             0.00079753
                     60,                0.47969,                0.81705,                0.94267,                0.57978,                0.36962,                0.26168,                0.20256,                0.73423,                 2.8745,                 1.4343,             0.00079203,             0.00079203,             0.00079203
                     61,                0.46286,                 0.7777,                0.94097,                0.66425,                 0.6939,                0.73227,                0.68681,                0.39271,                 1.3198,                0.88327,             0.00078653,             0.00078653,             0.00078653
                     62,                0.45838,                0.74409,                0.93132,                0.52204,                0.75659,                0.63049,                0.59587,                 0.3962,                 1.3263,                0.87623,             0.00078103,             0.00078103,             0.00078103
                     63,                0.45775,                0.77393,                0.93848,                0.67215,                0.75046,                0.73224,                0.68905,                 0.3967,                0.92179,                0.88235,             0.00077553,             0.00077553,             0.00077553
                     64,                0.45751,                0.74115,                 0.9307,                0.68326,                0.69379,                0.76647,                0.69823,                0.46588,                 1.0074,                0.90556,             0.00077003,             0.00077003,             0.00077003
                     65,                0.47782,                 0.7719,                0.93648,                0.42386,                   0.52,                0.49659,                0.45921,                0.44557,                 1.9837,                0.90954,             0.00076453,             0.00076453,             0.00076453
                     66,                0.46693,                0.74075,                0.93743,                 0.6194,                0.66097,                0.67589,                0.64107,                0.37817,                 1.1982,                0.88153,             0.00075904,             0.00075904,             0.00075904
                     67,                0.46419,                0.74689,                0.94293,                0.67713,                 0.7193,                0.75488,                0.69682,                0.44098,                0.94795,                0.88833,             0.00075354,             0.00075354,             0.00075354
                     68,                0.45708,                0.72518,                0.93441,                0.63567,                0.88858,                0.85382,                0.78429,                0.41869,                 0.6912,                0.90092,             0.00074804,             0.00074804,             0.00074804
                     69,                0.44284,                 0.6896,                0.91941,                0.57335,                0.78573,                0.70342,                0.66227,                0.38202,                  1.127,                0.88301,             0.00074254,             0.00074254,             0.00074254
                     70,                0.43471,                0.68025,                0.92512,                0.73421,                0.71539,                0.81797,                0.75959,                0.37698,                0.84782,                0.86988,             0.00073704,             0.00073704,             0.00073704
                     71,                0.46166,                 0.7087,                0.93301,                  0.791,                0.72708,                0.80476,                0.74026,                0.40042,                 1.0037,                0.89243,             0.00073154,             0.00073154,             0.00073154
                     72,                0.43122,                0.66492,                0.92145,                0.82295,                0.61968,                0.78112,                0.73564,                0.37978,                 1.0561,                0.87478,             0.00072604,             0.00072604,             0.00072604
                     73,                0.44165,                0.65919,                0.92495,                0.49007,                0.75935,                0.68082,                0.63778,                0.41364,                 1.3227,                0.87987,             0.00072054,             0.00072054,             0.00072054
                     74,                0.44549,                0.68241,                0.92816,                0.67868,                 0.8513,                0.85392,                0.79611,                0.36922,                 1.0591,                0.85824,             0.00071504,             0.00071504,             0.00071504
                     75,                0.46506,                0.67643,                 0.9347,                0.63428,                0.78518,                 0.8144,                0.76625,                0.37685,                0.94615,                0.87472,             0.00070954,             0.00070954,             0.00070954
                     76,                0.43624,                0.65186,                0.92885,                0.65018,                0.81657,                0.81151,                0.77344,                0.37269,                0.96041,                0.86691,             0.00070404,             0.00070404,             0.00070404
                     77,                0.43496,                0.65582,                0.93222,                0.50621,                 0.5805,                0.44616,                0.42009,                0.42777,                 1.9829,                0.91705,             0.00069854,             0.00069854,             0.00069854
                     78,                0.44052,                0.62529,                0.92524,                0.66538,                0.80405,                0.78272,                0.73916,                0.39651,                0.92569,                0.88946,             0.00069304,             0.00069304,             0.00069304
                     79,                0.44192,                 0.6367,                0.93397,                0.67789,                0.81052,                0.82774,                0.76028,                0.41292,                0.84247,                0.90806,             0.00068754,             0.00068754,             0.00068754
                     80,                0.43385,                0.61804,                0.92332,                0.64673,                0.84582,                0.79715,                0.73807,                0.41474,                0.99382,                0.90021,             0.00068204,             0.00068204,             0.00068204
                     81,                0.42085,                0.59608,                0.92784,                0.70456,                0.69165,                0.76979,                0.70038,                0.41356,                 1.1207,                0.91794,             0.00067654,             0.00067654,             0.00067654
                     82,                0.42578,                0.59703,                0.91926,                0.76061,                 0.7995,                0.83429,                0.78732,                0.39078,                0.79008,                0.87468,             0.00067104,             0.00067104,             0.00067104
                     83,                0.42458,                0.59868,                0.92496,                0.65109,                0.67115,                 0.6723,                0.61656,                0.42414,                 1.3001,                0.88222,             0.00066554,             0.00066554,             0.00066554
