                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 0.5121,                0.98453,                0.95441,                 0.5461,                0.67937,                 0.5487,                0.50715,                 0.4315,                 1.4372,                0.90071,             0.00086902,             0.00086902,             0.00086902
                     47,                0.49362,                0.97806,                0.94646,                0.83343,                   0.14,                0.10721,                0.07481,                 1.0685,                 8.3053,                 1.8619,             0.00086352,             0.00086352,             0.00086352
                     48,                0.49873,                0.98736,                0.94683,                0.50925,                    0.7,                0.60753,                0.55504,                0.42776,                 1.4083,                 0.9355,             0.00085803,             0.00085803,             0.00085803
                     49,                0.50604,                0.97633,                0.95382,                0.46182,                0.81807,                0.65252,                0.59611,                0.43522,                 1.0742,                0.90333,             0.00085253,             0.00085253,             0.00085253
                     50,                0.48792,                0.98116,                0.94352,                0.58756,                0.69447,                 0.6893,                0.63535,                0.41863,                0.95743,                0.87638,             0.00084703,             0.00084703,             0.00084703
                     51,                0.49363,                0.94737,                0.94398,                0.36811,                0.83744,                0.52085,                0.48497,                0.39625,                 1.2926,                0.89015,             0.00084153,             0.00084153,             0.00084153
                     52,                0.48565,                0.91053,                0.93605,                 0.4274,                0.73031,                0.58718,                0.55447,                0.39886,                 1.5206,                0.87094,             0.00083603,             0.00083603,             0.00083603
                     53,                0.48183,                0.91127,                0.94016,                0.56228,                0.62765,                0.64804,                0.59279,                0.44069,                 1.2234,                0.88299,             0.00083053,             0.00083053,             0.00083053
                     54,                 0.4726,                0.89558,                0.93938,                0.53064,                0.73966,                0.64204,                0.58106,                0.46244,                 1.2265,                 0.8922,             0.00082503,             0.00082503,             0.00082503
                     55,                0.48582,                0.89133,                0.94477,                 0.4752,                0.83078,                0.63847,                0.59231,                0.44491,                 1.1763,                0.87327,             0.00081953,             0.00081953,             0.00081953
                     56,                0.49001,                0.88144,                0.94578,                 0.4716,                0.68501,                0.67764,                0.63205,                0.38639,                 1.2911,                0.88316,             0.00081403,             0.00081403,             0.00081403
                     57,                0.47745,                0.86297,                0.94216,                 0.4358,                0.69679,                0.61988,                0.58149,                0.38635,                 1.7159,                0.88504,             0.00080853,             0.00080853,             0.00080853
                     58,                0.48428,                0.86411,                0.94531,                0.67305,                0.72748,                0.72359,                0.63647,                0.58092,                 1.1545,                0.95407,             0.00080303,             0.00080303,             0.00080303
                     59,                0.47625,                0.86465,                0.94345,                0.52056,                0.85703,                0.70506,                0.62874,                0.49293,                0.98616,                 0.9479,             0.00079753,             0.00079753,             0.00079753
                     60,                0.47931,                0.80793,                0.94609,                0.70447,                 0.8184,                0.82929,                0.76535,                0.40619,                0.88685,                0.86557,             0.00079203,             0.00079203,             0.00079203
                     61,                0.46834,                0.81478,                 0.9367,                0.54937,                0.84095,                0.74855,                0.69551,                0.41039,                 0.9211,                0.88284,             0.00078653,             0.00078653,             0.00078653
                     62,                0.49011,                0.81446,                0.93821,                0.55761,                0.56642,                 0.6231,                0.56525,                 0.4286,                 1.6187,                 0.8959,             0.00078103,             0.00078103,             0.00078103
                     63,                0.45907,                0.77132,                0.93211,                0.61277,                0.71865,                0.76102,                0.68109,                0.39991,                 1.2798,                0.89228,             0.00077553,             0.00077553,             0.00077553
                     64,                  0.443,                0.76752,                0.93439,                0.63148,                0.60219,                0.71659,                0.66981,                0.38644,                 1.2564,                0.86986,             0.00077003,             0.00077003,             0.00077003
                     65,                 0.4546,                0.76689,                0.93537,                0.70388,                0.84115,                0.78137,                0.71447,                0.40599,                0.85452,                0.87292,             0.00076453,             0.00076453,             0.00076453
                     66,                0.47352,                 0.7494,                0.93373,                0.78999,                0.76906,                0.79759,                0.73591,                0.40391,                 1.0011,                0.87755,             0.00075904,             0.00075904,             0.00075904
                     67,                0.46801,                0.72459,                0.94301,                0.57726,                0.78776,                0.72704,                0.66641,                0.45863,                 1.1913,                0.89018,             0.00075354,             0.00075354,             0.00075354
                     68,                0.46047,                0.73953,                0.92564,                0.69844,                0.77647,                0.76112,                0.70893,                0.40246,                 1.0187,                0.85672,             0.00074804,             0.00074804,             0.00074804
                     69,                0.46793,                0.74924,                0.93224,                0.51539,                0.53385,                0.55954,                0.52308,                0.45779,                 1.8058,                0.95315,             0.00074254,             0.00074254,             0.00074254
                     70,                0.45947,                0.71621,                0.93378,                0.57816,                0.73362,                0.65758,                0.58951,                0.48815,                 1.3034,                0.91322,             0.00073704,             0.00073704,             0.00073704
                     71,                0.45177,                0.72557,                 0.9303,                0.80611,                0.71132,                0.78529,                0.73975,                0.36833,                 1.0728,                0.87101,             0.00073154,             0.00073154,             0.00073154
                     72,                0.45089,                0.69002,                0.93337,                0.72038,                0.83631,                0.83019,                0.78735,                0.36154,                0.88739,                0.85761,             0.00072604,             0.00072604,             0.00072604
                     73,                0.45732,                0.71449,                0.93364,                0.56352,                0.78297,                0.69994,                 0.6329,                0.43501,                  1.114,                 0.9483,             0.00072054,             0.00072054,             0.00072054
                     74,                0.44455,                0.70216,                0.92928,                0.74928,                   0.68,                 0.8112,                0.77091,                0.36081,                 1.0025,                0.86585,             0.00071504,             0.00071504,             0.00071504
                     75,                0.43669,                0.67844,                0.92961,                0.62702,                 0.7852,                 0.7421,                0.69273,                0.42092,                 1.0421,                0.88099,             0.00070954,             0.00070954,             0.00070954
                     76,                0.44964,                0.69481,                0.93539,                0.72148,                    0.8,                0.83537,                 0.7877,                0.36382,                0.85895,                0.85759,             0.00070404,             0.00070404,             0.00070404
                     77,                0.44788,                0.66447,                0.93053,                0.61257,                0.50966,                0.58282,                0.54206,                0.38434,                 2.1091,                0.87524,             0.00069854,             0.00069854,             0.00069854
                     78,                0.44461,                0.66737,                0.92528,                0.54335,                0.77521,                0.73159,                0.68659,                0.38872,                 1.3795,                0.87527,             0.00069304,             0.00069304,             0.00069304
                     79,                0.44802,                0.65409,                0.93242,                0.60585,                0.83835,                0.78328,                 0.6974,                0.45323,                0.95355,                0.93117,             0.00068754,             0.00068754,             0.00068754
                     80,                0.45151,                0.64232,                0.93469,                0.71394,                0.81546,                0.84039,                0.78859,                0.37675,                 1.0309,                0.87089,             0.00068204,             0.00068204,             0.00068204
                     81,                0.43615,                0.63745,                0.92481,                0.81912,                0.78082,                0.87862,                 0.8286,                0.36924,                0.69676,                 0.8639,             0.00067654,             0.00067654,             0.00067654
                     82,                0.43636,                 0.6102,                 0.9218,                 0.7372,                0.62427,                0.79547,                0.75167,                0.39924,                 1.1829,                0.87511,             0.00067104,             0.00067104,             0.00067104
                     83,                0.44071,                0.64954,                0.93283,                0.47099,                0.74507,                0.69462,                0.64809,                0.39675,                 1.4676,                0.88078,             0.00066554,             0.00066554,             0.00066554
